model,accuracy,macro_precision,macro_recall,macro_f1,classification_report
baseline,0.1,0.01,0.1,0.01818181818181818,"""              precision    recall  f1-score   support\n\n        1988       0.10      1.00      0.18         6\n        2277       0.00      0.00      0.00         6\n        2412       0.00      0.00      0.00         6\n        2428       0.00      0.00      0.00         6\n        5895       0.00      0.00      0.00         6\n        6319       0.00      0.00      0.00         6\n        6345       0.00      0.00      0.00         6\n         777       0.00      0.00      0.00         6\n        7850       0.00      0.00      0.00         6\n        7976       0.00      0.00      0.00         6\n\n    accuracy                           0.10        60\n   macro avg       0.01      0.10      0.02        60\nweighted avg       0.01      0.10      0.02        60\n"""
gmm_4,0.7833333333333333,0.7645021645021645,0.7833333333333333,0.7525597931480285,"""              precision    recall  f1-score   support\n\n        1988       0.00      0.00      0.00         6\n        2277       0.86      1.00      0.92         6\n        2412       1.00      0.67      0.80         6\n        2428       1.00      0.50      0.67         6\n        5895       1.00      1.00      1.00         6\n        6319       0.75      1.00      0.86         6\n        6345       0.45      0.83      0.59         6\n         777       0.75      1.00      0.86         6\n        7850       0.83      0.83      0.83         6\n        7976       1.00      1.00      1.00         6\n\n    accuracy                           0.78        60\n   macro avg       0.76      0.78      0.75        60\nweighted avg       0.76      0.78      0.75        60\n"""
gmm_8,0.8333333333333334,0.8083333333333333,0.8333333333333333,0.813365800865801,"""              precision    recall  f1-score   support\n\n        1988       0.00      0.00      0.00         6\n        2277       1.00      0.83      0.91         6\n        2412       1.00      1.00      1.00         6\n        2428       1.00      1.00      1.00         6\n        5895       1.00      0.83      0.91         6\n        6319       0.75      1.00      0.86         6\n        6345       0.83      0.83      0.83         6\n         777       1.00      1.00      1.00         6\n        7850       0.50      0.83      0.62         6\n        7976       1.00      1.00      1.00         6\n\n    accuracy                           0.83        60\n   macro avg       0.81      0.83      0.81        60\nweighted avg       0.81      0.83      0.81        60\n"""
gmm_16,0.9,0.8273809523809526,0.9,0.8580219780219782,"""              precision    recall  f1-score   support\n\n        1988       0.00      0.00      0.00         6\n        2277       0.86      1.00      0.92         6\n        2412       1.00      1.00      1.00         6\n        2428       1.00      1.00      1.00         6\n        5895       1.00      1.00      1.00         6\n        6319       0.75      1.00      0.86         6\n        6345       1.00      1.00      1.00         6\n         777       1.00      1.00      1.00         6\n        7850       0.67      1.00      0.80         6\n        7976       1.00      1.00      1.00         6\n\n    accuracy                           0.90        60\n   macro avg       0.83      0.90      0.86        60\nweighted avg       0.83      0.90      0.86        60\n"""
ecapa,0.9,0.8333333333333333,0.9,0.86,"""              precision    recall  f1-score   support\n\n        1988       0.00      0.00      0.00         6\n        2277       0.67      1.00      0.80         6\n        2412       1.00      1.00      1.00         6\n        2428       1.00      1.00      1.00         6\n        5895       1.00      1.00      1.00         6\n        6319       1.00      1.00      1.00         6\n        6345       1.00      1.00      1.00         6\n         777       1.00      1.00      1.00         6\n        7850       0.67      1.00      0.80         6\n        7976       1.00      1.00      1.00         6\n\n    accuracy                           0.90        60\n   macro avg       0.83      0.90      0.86        60\nweighted avg       0.83      0.90      0.86        60\n"""
