method,compression_type,embedding_dim,centroid_dtype,closed_set_accuracy,macro_precision,macro_recall,macro_f1,open_set_overall_accuracy,known_accuracy,unknown_rejection_accuracy,false_acceptance_rate,false_rejection_rate,centroid_storage_bytes,storage_ratio_vs_float32,average_scoring_time_ms,notes
ecapa_original_float32,none,192,float32,0.9,0.8333333333333333,0.9,0.86,0.8888888888888888,0.9,0.8666666666666667,0.13333333333333333,0.06666666666666667,7680,1.0,0.0005603583316163471,Original ECAPA embeddings.
ecapa_pca_128,pca,128,float32,0.9166666666666666,0.9416666666666667,0.9166666666666667,0.8942857142857144,0.9333333333333333,0.9,1.0,0.0,0.1,5120,0.6666666666666666,0.0004994249999678384,PCA fitted on enrollment embeddings only.
ecapa_pca_64,pca,64,float32,0.9166666666666666,0.9416666666666667,0.9166666666666667,0.8942857142857144,0.9222222222222223,0.9,0.9666666666666667,0.03333333333333333,0.1,2560,0.3333333333333333,0.0003807916703711574,PCA fitted on enrollment embeddings only.
ecapa_pca_32,pca,32,float32,0.9166666666666666,0.9416666666666667,0.9166666666666667,0.8942857142857144,0.8666666666666667,0.9,0.8,0.2,0.1,1280,0.16666666666666666,0.0003323416652468344,PCA fitted on enrollment embeddings only.
ecapa_pca_16,pca,16,float32,0.9166666666666666,0.9416666666666667,0.9166666666666667,0.8942857142857144,0.8666666666666667,0.9,0.8,0.2,0.1,640,0.08333333333333333,0.0003114999999525026,PCA fitted on enrollment embeddings only.
ecapa_float16_centroid,centroid_quantization,192,float16,0.9,0.8333333333333333,0.9,0.86,0.8888888888888888,0.9,0.8666666666666667,0.13333333333333333,0.06666666666666667,3840,0.5,0.0005623500037472695,Centroids stored as float16.
ecapa_int8_centroid,centroid_quantization,192,int8,0.9,0.8333333333333333,0.9,0.86,0.8888888888888888,0.9,0.8666666666666667,0.13333333333333333,0.06666666666666667,1960,0.2552083333333333,0.0005543083340550463,Symmetric per-centroid int8 quantization.
