model,threshold,validation_open_set_accuracy,known_speaker_accuracy,unknown_rejection_accuracy,false_acceptance_rate,false_rejection_rate,overall_open_set_accuracy
baseline,1.0000001192092896,0.6777777777777778,0.1,0.03333333333333333,0.9666666666666667,0.0,0.07777777777777778
gmm_4,-53.49436569213867,0.7888888888888889,0.7666666666666667,0.23333333333333334,0.7666666666666667,0.016666666666666666,0.5888888888888889
gmm_8,-52.482032775878906,0.8333333333333334,0.8166666666666667,0.3333333333333333,0.6666666666666666,0.016666666666666666,0.6555555555555556
gmm_16,-51.60322570800781,0.8333333333333334,0.8666666666666667,0.4,0.6,0.03333333333333333,0.7111111111111111
ecapa,0.3301728367805481,0.9555555555555556,0.9,0.8666666666666667,0.13333333333333333,0.06666666666666667,0.8888888888888888
